NAME,LATITUDE,LONGITUDE,TYPE
Londonderry,53.60594955,-113.4472804,Ball Diamond
Woodcroft,53.56750608,-113.5609332,Ball Diamond
Castle Downs,53.61874282,-113.5216192,Ball Diamond
Diamond Park,53.5366107,-113.4934084,Ball Diamond
Skyrattler,53.45136317,-113.5242181,Ball Diamond
Coronation Park,53.56363792,-113.5604055,Ball Diamond
St Richard,53.44697412,-113.4289168,Ball Diamond
Crawford Plains,53.4418075,-113.4064309,Ball Diamond
Borden Park,53.56261823,-113.4522928,Ball Diamond
JJ Bowlen,53.6060237,-113.4352906,Ball Diamond
Michaels Park,53.48033647,-113.4513565,Ball Diamond
Meyokumin,53.44977496,-113.4276859,Ball Diamond
Kirkness,53.61340777,-113.3924855,Ball Diamond
Argyll Park,53.50541413,-113.4650211,Ball Diamond
Glastonbury,53.50373368,-113.6732929,Ball Diamond
Athlone,53.58818126,-113.545791,Ball Diamond
Tipton,53.51692567,-113.5100552,Ball Diamond
Eastwood,53.57510087,-113.4645635,Ball Diamond
Blue Quill II,53.45744381,-113.5371272,Ball Diamond
Overlander,53.58339436,-113.3854173,Ball Diamond
Bishop Savaryn,53.62275381,-113.5063526,Ball Diamond
Prince Charles,53.57910614,-113.5391917,Ball Diamond
The Meadows,53.46106572,-113.3712388,Ball Diamond
Summerlea,53.52671288,-113.6256355,Ball Diamond
St Thomas More,53.53408284,-113.6071359,Ball Diamond
Glenora,53.54444136,-113.554799,Ball Diamond
Herb Link # 5 S,53.4626751,-113.4250561,Ball Diamond
Anne Fitzgerald,53.59484103,-113.3810961,Ball Diamond
Calder,53.58846866,-113.5260656,Ball Diamond
Lymburn,53.5075679,-113.6457767,Ball Diamond
Lansdowne,53.48787233,-113.544193,Ball Diamond
Blue Quill,53.45956414,-113.5220445,Ball Diamond
Westbrook,53.47446496,-113.5410488,Ball Diamond
LaPerle E,53.53348721,-113.6360458,Ball Diamond
Katherine Therrien,53.6102089,-113.531232,Ball Diamond
Miller,53.61329479,-113.4156501,Ball Diamond
Sakaw,53.44364075,-113.4294217,Ball Diamond
Coronation,53.55534127,-113.5585423,Ball Diamond
Henderson Est,53.46896016,-113.596766,Ball Diamond
Aldergrove,53.52115424,-113.635152,Ball Diamond
Lymburn,53.50751121,-113.6449895,Ball Diamond
Winterburn,53.53555173,-113.6909795,Ball Diamond
Kensington,53.59588141,-113.5296416,Ball Diamond
Callingwood Park,53.50458671,-113.6226705,Ball Diamond
McQueen,53.55502457,-113.5692129,Ball Diamond
Queen Mary Park,53.55649639,-113.5135015,Ball Diamond
Richard Secord,53.47772716,-113.5329063,Ball Diamond
John Fry Park,53.46238598,-113.4825679,Ball Diamond
Brander Gardens,53.49296895,-113.5764694,Ball Diamond
