NAME,LATITUDE,LONGITUDE,TYPE
Westwood Arena Park,53.573963,-113.493031,Playground
Kildare,53.606108,-113.457694,Playground
Montrose Community League,53.572458,-113.432854,Playground
Holy Family,53.447069,-113.403813,Playground
Mother Teresa School,53.551859,-113.476088,Playground
Beacon Heights Park Tot Lot,53.572895,-113.395634,Playground
Duncan Innes Park,53.516309,-113.452518,Playground
John A McDougall,53.555242,-113.506064,Playground
Menisa School,53.442805,-113.447308,Playground
Hamptons,53.492825,-113.679887,Playground
Thorncliff Playground,53.51608,-113.620735,Playground
Aspen Gardens Community League,53.474819,-113.542903,Playground
Terwillegar South Park,53.439795,-113.580068,Playground
Rundle Park,53.554866,-113.387312,Playground
Homesteader School,53.58686,-113.412578,Playground
Laurier Park Playground,53.510508,-113.548951,Playground
Carlton Park/Elizabeth Finch School,53.619987,-113.559854,Playground
Richford,53.425719,-113.506966,Playground
Ottewell Community League,53.530724,-113.42418,Playground
Centennial School (Gariepy),53.493498,-113.623454,Playground
Jackie Parker Park,53.484067,-113.421603,Playground
Parkview Playground,53.525112,-113.569993,Playground
Castle Downs Park,53.616613,-113.525023,Playground
Gallagher Park,53.535997,-113.472575,Playground
Castle Downs Park,53.616402,-113.525633,Playground
Kinsmen Park Senior,53.527228,-113.509179,Playground
Donnan Park/Arena,53.515547,-113.469054,Playground
Dr. Francis Crang Park,53.486657,-113.501659,Playground
Homesteader School,53.587081,-113.412397,Playground
Beacon Heights Park Tot Lot,53.572946,-113.396043,Playground
Hillview School,53.46809,-113.427058,Playground
Bannerman Park,53.604172,-113.378782,Playground
Cameron Heights,53.47325,-113.636178,Playground
St. Bernadette School,53.572186,-113.402374,Playground
Hudson Park,53.607524,-113.556311,Playground
Michael Strembitsky,53.413816,-113.462546,Playground
Granville Tot Lot,53.507299,-113.679078,Playground
Silverberry Park,53.457333,-113.384253,Playground
Coronation,53.555532,-113.560356,Playground
Mount Pleasant Park,53.495342,-113.500531,Playground
Delton School,53.575395,-113.478432,Playground
Wedgewood Heights Playground,53.480613,-113.646601,Playground
Blackmud Park,53.420234,-113.513253,Playground
Strathcona Communuty League,53.522558,-113.492786,Playground
Baturyn Park,53.63265,-113.504608,Playground
Ecole Frere Antoine School,53.46019,-113.448736,Playground
Mayliewan (St John Bosco School) Park,53.622079,-113.459311,Playground
Michael Strembitsky,53.414015,-113.462564,Playground
McLeod Meadows,53.615016,-113.441499,Playground
St James,53.513946,-113.455875,Playground
Woodcroft Playground,53.564706,-113.561899,Playground
Windsor Park Community League,53.523253,-113.535601,Playground
Carlton Park/Elizabeth Finch School,53.619925,-113.559846,Playground
Sherwood Playground,53.528895,-113.58743,Playground
Terrace Heights School,53.53932,-113.43524,Playground
Blair McPherson,53.468886,-113.362709,Playground
St Catherine,53.55591,-113.509512,Playground
Parkview Playground,53.525314,-113.56956,Playground
Queen Alexandra,53.513476,-113.504871,Playground
Mary Finlay Park,53.543593,-113.451432,Playground
Chappelle,53.406295,-113.573049,Playground
Floden Park,53.563764,-113.407838,Playground
William Hawrelak Park,53.526985,-113.544235,Playground
Laurier Park Playground,53.510441,-113.548819,Playground
Lansdowne Community League,53.487007,-113.545939,Playground
Tipaskan School,53.462787,-113.460434,Playground
Greenfield Community League,53.473567,-113.526034,Playground
Silverberry Park,53.457784,-113.384493,Playground
Fulton Place Community League,53.546285,-113.425963,Playground
Lynnwood Playground,53.516211,-113.589784,Playground
Kameyosek School,53.461237,-113.443344,Playground
Fraser School/Park,53.6106,-113.372575,Playground
Beverly Heights Playground,53.569151,-113.395331,Playground
Ellerslie Crossing,53.428982,-113.459042,Playground
Riverdale School,53.543495,-113.467638,Playground
Northmount Playground,53.603226,-113.481618,Playground
William Hawrelak Park,53.527023,-113.543955,Playground
Queen Alexandra Community League,53.509572,-113.508492,Playground
Granville,53.498772,-113.679143,Playground
Major General Griesbach - Central Park,53.606096,-113.497999,Playground
Cumberland Park,53.611029,-113.54515,Playground
J. A. Fife School,53.611118,-113.461661,Playground
Evergreen Trailer Park,53.632161,-113.351216,Playground
Klarvatten,53.63313,-113.475354,Playground
Meyonohk School,53.455062,-113.456588,Playground
Charles Simmonds Park,53.515563,-113.53071,Playground
St Brendan,53.530115,-113.424346,Playground
Oliver School,53.543694,-113.523327,Playground
Glenridding Playground,53.420733,-113.60264,Playground
Lago Lindo,53.63479,-113.487443,Playground
Satoo School,53.446266,-113.459121,Playground
Westglen,53.554391,-113.541966,Playground
Sheriff Robertson Park,53.559238,-113.466021,Playground
Cameron Heights,53.47306,-113.636628,Playground
Primrose Park,53.517693,-113.648513,Playground
,53.576554,-113.478124,Playground
Aldergrove Park,53.518978,-113.634974,Playground
Glengarry School,53.595554,-113.484685,Playground
Princeton,53.58959,-113.458885,Playground
Laurel Park 3,53.441357,-113.388157,Playground
Earl Buxton School,53.474727,-113.58393,Playground
Meadowlark Playground,53.525249,-113.597026,Playground
James Gibbons,53.522757,-113.584291,Playground
Pleasantview Community League,53.493959,-113.510516,Playground
North Glenora Community League,53.554816,-113.557543,Playground
St. Elizabeth Seton School/Park,53.594467,-113.396909,Playground
Greenfield Sch,53.472901,-113.526936,Playground
Grace Martin School,53.469052,-113.455335,Playground
Pleasantview Sch,53.495135,-113.503456,Playground
Rutherford Sch,53.52252,-113.468375,Playground
Queen Alexandra,53.51335,-113.504758,Playground
,53.459081,-113.362941,Playground
Laurier Heights School Playground,53.516828,-113.567359,Playground
Rundle Park,53.55496,-113.38651,Playground
Suder Greens,53.520861,-113.684698,Playground
St. Williams Park,53.596835,-113.432955,Playground
Gallagher Park,53.535859,-113.472245,Playground
Edmonton Chris,53.555715,-113.567862,Playground
Kensington,53.595766,-113.528233,Playground
Kinross-Kerr Park,53.476154,-113.596675,Playground
Centennial School (Gariepy),53.493471,-113.622965,Playground
