NAME,LATITUDE,LONGITUDE,TYPE
Westmount,53.55533808,-113.5434885,Soccer Field
Norwood,53.56080418,-113.4877495,Soccer Field
Patricia Heights,53.51159803,-113.6021073,Soccer Field
Afton,53.52651343,-113.6079738,Soccer Field
Donnan,53.5146956,-113.459463,Soccer Field
Jasper Place Jubilee Park,53.5281127,-113.5974934,Soccer Field
St Richard,53.44785025,-113.4290481,Soccer Field
Beaumaris,53.618285,-113.4963824,Soccer Field
Windsor Park,53.52457812,-113.5364147,Soccer Field
Anne Fitzgerald,53.59509699,-113.3820742,Soccer Field
Klarvatten,53.63439251,-113.4764938,Soccer Field
Archbishop MacDonald,53.55389708,-113.5677409,Soccer Field
Meyonohk,53.45635039,-113.4567102,Soccer Field
Michaels Park,53.48044874,-113.4502165,Soccer Field
Evansdale,53.609796,-113.4837378,Soccer Field
Ste Jeanne D'Arc,53.52091628,-113.4299126,Soccer Field
Evansdale,53.60946077,-113.4828644,Soccer Field
Kirkness,53.61270662,-113.3901838,Soccer Field
Primrose,53.51665677,-113.6468381,Soccer Field
Westbrook,53.47499673,-113.5398815,Soccer Field
Wild Rose,53.47214239,-113.3803026,Soccer Field
Westmount,53.55526279,-113.5435794,Soccer Field
Michaels Park,53.48024884,-113.451438,Soccer Field
McKernan,53.51330793,-113.5240865,Soccer Field
Jackson Heights,53.48291532,-113.4070272,Soccer Field
High Park,53.55650189,-113.5858944,Soccer Field
Abbottsfield,53.5738862,-113.3925915,Soccer Field
Weinlos,53.46040121,-113.4148221,Soccer Field
Club Soccer,53.42586139,-113.4140891,Soccer Field
Queen Mary Park,53.55652957,-113.5146746,Soccer Field
Hillcrest,53.51534017,-113.6038365,Soccer Field
St Gabriel,53.55157021,-113.4229581,Soccer Field
Sakaw,53.44452019,-113.4283602,Soccer Field
St Cecilia,53.592875,-113.4782764,Soccer Field
St. Kateri,53.47520561,-113.4014057,Soccer Field
Tipaskan,53.46280623,-113.4563514,Soccer Field
Matt Berry,53.62198072,-113.4326321,Soccer Field
Lauderdale,53.58795858,-113.50098,Soccer Field
Fraser,53.61176185,-113.3749231,Soccer Field
Ramsey Heights,53.48288361,-113.580217,Soccer Field
Inglewood,53.56590842,-113.5397067,Soccer Field
St Theresa,53.45915828,-113.5270846,Soccer Field
Herb Link # 2 S,53.46237034,-113.4249942,Soccer Field
Bearspaw,53.44419981,-113.4998111,Soccer Field
Mary Hanley,53.46342299,-113.4025317,Soccer Field
Terwillegar Towne,53.44695024,-113.572791,Soccer Field
Elsinore,53.6412934,-113.5052374,Soccer Field
Richard Secord,53.47843384,-113.5349974,Soccer Field
Brookside,53.49186005,-113.5705601,Soccer Field
St Dominic,53.60806439,-113.4319023,Soccer Field
Kenilworth,53.52306952,-113.4361482,Soccer Field
John Thompson,53.59024705,-113.5543527,Soccer Field
Primrose,53.51678671,-113.6480361,Soccer Field
Lago Lindo,53.63594011,-113.4845217,Soccer Field
Abbottsfield,53.57384117,-113.39227,Soccer Field
Montrose,53.57300343,-113.4343195,Soccer Field
Braemar,53.53197626,-113.4294237,Soccer Field
McNally,53.54802608,-113.4604382,Soccer Field
Laurier Heights,53.5165695,-113.5669326,Soccer Field
Oleskiw,53.49821788,-113.604893,Soccer Field
ME Lazerte,53.60867404,-113.4470582,Soccer Field
Elsinore,53.6424191,-113.5052615,Soccer Field
Kiniski Gardens,53.47791348,-113.4087383,Soccer Field
Hollick Kenyon,53.62296435,-113.4203547,Soccer Field
Crawford Plains,53.44073829,-113.406843,Soccer Field
Belmont,53.59441542,-113.3922467,Soccer Field
Ellerslie,53.42820106,-113.4408551,Soccer Field
Summerlea,53.52771661,-113.6242708,Soccer Field
Lee Ridge,53.47082982,-113.4454538,Soccer Field
Casselman,53.61203069,-113.4197021,Soccer Field
Scott Robertson,53.59613919,-113.5033282,Soccer Field
St William,53.59822116,-113.4332967,Soccer Field
Athlone,53.58812362,-113.5459387,Soccer Field
Ottewell,53.5311589,-113.43839,Soccer Field
St Matthew,53.59091409,-113.4748009,Soccer Field
Edmonton Soccer Centre South,53.4975973,-113.4356505,Soccer Field
Kildare,53.60581856,-113.4568848,Soccer Field
Inglewood,53.56586316,-113.5389851,Soccer Field
Lady Prairies,53.49850331,-113.6248111,Soccer Field
Kernohan,53.59286132,-113.3813271,Soccer Field
North Edmonton,53.58747789,-113.4489128,Soccer Field
Elizabeth Finch,53.61954906,-113.5589669,Soccer Field
Lynnwood,53.51656131,-113.5880634,Soccer Field
Sherbrooke,53.57641641,-113.5485539,Soccer Field
Henderson Est,53.46785871,-113.5967498,Soccer Field
Lauderdale,53.58821737,-113.501916,Soccer Field
St Benedict,53.5255657,-113.6328378,Soccer Field
Wedgewood Heights,53.48140061,-113.6440488,Soccer Field
Notre Dame,53.52465574,-113.5887885,Soccer Field
ME Lazerte,53.60867855,-113.4459715,Soccer Field
Callingwood Park,53.50868275,-113.6207343,Soccer Field
Blue Quill II,53.45768199,-113.5380775,Soccer Field
JH Picard,53.50821487,-113.4846183,Soccer Field
Prince Charles,53.57839581,-113.5392605,Soccer Field
Pollard Meadows,53.44862508,-113.4109248,Soccer Field
York Park,53.60110846,-113.4342014,Soccer Field
McKee,53.48705,-113.5090866,Soccer Field
Parkallen,53.50451446,-113.5180546,Soccer Field
Our Lady Of Victories,53.51413611,-113.594034,Soccer Field
St Patrick,53.57457137,-113.4896672,Soccer Field
Ozerna,53.62152572,-113.4506823,Soccer Field
Mount Carmel,53.51293787,-113.5036049,Soccer Field
Carlisle Park,53.60626144,-113.5256749,Soccer Field
Lillian Osborne,53.45623177,-113.5783083,Soccer Field
Calder,53.58974374,-113.5254043,Soccer Field
Klarvatten,53.63429469,-113.4776049,Soccer Field
Belvedere,53.59375681,-113.4339186,Soccer Field
Fulton Place,53.54596561,-113.4255886,Soccer Field
Baturyn,53.63232871,-113.5065204,Soccer Field
Rosslyn,53.59344716,-113.51197,Soccer Field
Callingwood Park,53.50901955,-113.6285328,Soccer Field
Callingwood Park,53.50415641,-113.6255309,Soccer Field
Queen Alexandra,53.51399862,-113.5061189,Soccer Field
Ermineskin,53.46046569,-113.5047413,Soccer Field
Hairsine,53.60499966,-113.3948337,Soccer Field
Pleasantview,53.49520094,-113.5094395,Soccer Field
Alex Taylor,53.5459244,-113.4761623,Soccer Field
Holy Family,53.44645189,-113.4066564,Soccer Field
Afton,53.52763012,-113.6090071,Soccer Field
St Benedict,53.52609553,-113.6319396,Soccer Field
Beacon Heights,53.57584437,-113.4141452,Soccer Field
Tomlinson Park,53.44933891,-113.5846441,Soccer Field
Baturyn,53.63224425,-113.5060154,Soccer Field
The Meadows,53.45765012,-113.3739666,Soccer Field
Potter Greens,53.51711657,-113.6769809,Soccer Field
Killarney,53.59184857,-113.4840463,Soccer Field
